market_side,timestamp_utc,open_cents,close_cents,high_cents,low_cents,yes_bid_close_cents,yes_ask_close_cents,volume,open_interest
SIU,2026-08-29T19:00:00+00:00,,,,,66.0,86.0,0.0,470.96
SIU,2026-08-29T20:00:00+00:00,,,,,66.0,84.0,0.0,470.96
SIU,2026-08-29T21:00:00+00:00,,,,,65.0,83.0,0.0,470.96
SIU,2026-08-29T22:00:00+00:00,,,,,65.0,82.0,0.0,470.96
SIU,2026-08-30T00:00:00+00:00,77.0,77.0,77.0,77.0,66.0,78.0,1.0,471.96
SIU,2026-08-30T01:00:00+00:00,75.0,80.0,80.0,75.0,74.0,89.0,6.23,477.19
SIU,2026-08-30T02:00:00+00:00,,,,,75.0,87.0,0.0,477.19
SIU,2026-08-30T03:00:00+00:00,87.0,88.0,88.0,87.0,77.0,88.0,11.3,488.49
SIU,2026-08-30T04:00:00+00:00,73.0,73.0,74.0,73.0,76.0,90.0,6.32,485.49
SIU,2026-08-30T05:00:00+00:00,,,,,79.0,88.0,0.0,485.49
SIU,2026-08-30T06:00:00+00:00,79.0,79.0,79.0,79.0,78.0,89.0,1.38,485.49
SIU,2026-08-30T07:00:00+00:00,89.0,89.0,89.0,89.0,80.0,89.0,9.51,495.0
SIU,2026-08-30T08:00:00+00:00,80.0,80.0,80.0,80.0,81.0,89.0,1.0,495.08
SIU,2026-08-30T09:00:00+00:00,,,,,83.0,89.0,0.0,495.08
SIU,2026-08-30T10:00:00+00:00,,,,,85.0,89.0,0.0,495.08
SIU,2026-08-30T11:00:00+00:00,85.0,85.0,85.0,85.0,84.0,89.0,1.0,496.08
SIU,2026-08-30T13:00:00+00:00,89.0,89.0,89.0,89.0,84.0,89.0,5.57,501.65
SIU,2026-08-30T15:00:00+00:00,89.0,89.0,89.0,89.0,84.0,90.0,7.8,509.45
SIU,2026-08-30T16:00:00+00:00,89.0,89.0,89.0,89.0,85.0,88.0,2.78,512.23
SIU,2026-08-30T17:00:00+00:00,88.0,85.0,89.0,84.0,84.0,88.0,119.45,623.69
SIU,2026-08-30T18:00:00+00:00,88.0,86.0,89.0,86.0,86.0,89.0,10.17,630.4
